Molecule ChEMBL ID;Molecule Name;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Value;Standard Units;pChEMBL Value;Potential Duplicate;BAO Label
CHEMBL1863096;;363.77;1;44291;DNDI1307370;OC(c1ccc(Cl)cc1)(c1ccc(C(F)(F)F)cc1)c1cccnc1;IC50;44235;nM;44447;False;organism-based format
CHEMBL1862898;;310.78;0;26359;DNDI1268516;Cc1cccc(C(O)(c2ccc(Cl)cc2)c2cncnc2)c1;IC50;68380.0;nM;42826;False;cell-based format
CHEMBL1862867;;385.34;1;34090;DNDI1268517;CC(C)CNC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Cl;IC50;59250.0;nM;45017;False;cell-based format
CHEMBL1863327;;401.12;1;12175;DNDI1268521;Cl.OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccc(Cl)cc1Cl;IC50;53100.0;nM;46844;False;cell-based format
CHEMBL1862864;;313.18;0;27454;DNDI1246777;CC1(C)CC(=O)C(C(=O)c2ccc(Cl)cc2Cl)C(=O)C1;IC50;76460.0;nM;44534;False;cell-based format
CHEMBL1863173;;438.93;0;11780;DNDI1599458;NC(=O)c1cccc(N2CCC(NC(c3cccnc3)c3ccc(Cl)cc3F)CC2)c1;IC50;71.5;nM;42186;False;organism-based format
CHEMBL1863496;;364.37;0;28522;DNDI1392072;NC(=O)C1CCN(C(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1;IC50;6410.0;nM;43586;False;organism-based format
CHEMBL1863233;;404.46;0;30376;DNDI1434926;CC(C)(C)OC(=O)NC1CCN(C(c2cnccn2)c2ccc(F)cc2F)CC1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863037;;434.99;0;18323;DNDI1434932;O=S(=O)(C1CCCCC1)N1CCN(C(c2ccc(Cl)cc2)c2cncnc2)CC1;IC50;56320.0;nM;45748;False;cell-based format
CHEMBL1862934;;443.47;0;30011;DNDI1564275;Cn1ccnc1C(=O)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863371;;288.78;0;44532;DNDI1434925;Clc1ccc(C(c2cncnc2)N2CCNCC2)cc1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863004;;387.40;1;42856;DNDI1335913;CC(C)Oc1ccc(C(O)(c2ccc(C(F)(F)F)cc2)c2cccnc2)cc1;IC50;26724;nM;15919;False;organism-based format
CHEMBL1862841;;444.46;0;13971;DNDI1599449;Cc1nc(C(=O)NC2CCN(C(c3ccc(C(F)(F)F)cc3)c3cccnc3)CC2)co1;IC50;56410.0;nM;45748;False;cell-based format
CHEMBL1863001;;413.90;1;13271;DNDI1492867;Fc1cc(Cl)ccc1C(NC1CCN(c2ccccc2F)CC1)c1cccnc1;IC50;53250.0;nM;46478;False;cell-based format
CHEMBL1862883;;425.89;0;28581;DNDI1449879;O=C(Oc1ccccc1)N1CCN(C(c2cccnc2)c2ccc(Cl)cc2F)CC1;IC50;59080.0;nM;45017;False;cell-based format
CHEMBL1862900;;405.42;0;44380;DNDI1489895;O=C(NC1CC1)N1CCN(C(c2ccc(C(F)(F)F)cc2)c2cncnc2)CC1;IC50;1000.0;nM;;False;organism-based format
CHEMBL1862900;;405.42;0;44380;DNDI1489895;O=C(NC1CC1)N1CCN(C(c2ccc(C(F)(F)F)cc2)c2cncnc2)CC1;IC50;100000.0;nM;;False;cell-based format
